ORF,protein2RNA
YDR502C,22000
YDR503C,300
YDR504C,
YDR505C,259
YDR506C,589
YDR507C,736
YDR508C,10600
YDR509W,
YDR510W,2940
YDR511W,195
YDR512C,
YDR513W,31400
YDR514C,125
YDR515W,861
YDR516C,10600
YDR517W,2730
YDR518W,
YDR519W,5400
YDR520C,937
YDR521W,
YDR522C,238
YDR523C,
YDR524C,396
YDR525W,
YDR525W-A,20400
YDR526C,
YDR527W,688
YDR528W,259
YDR529C,10100
YDR530C,1770
YDR531W,6190
YDR532C,377
YDR533C,358
YDR534C,
YDR535C,
YDR536W,
YDR537C,
YDR538W,1750
YDR539W,861
YDR540C,172
YDR541C,
YDR542W,
YDR543C,
YDR544C,
YDR545W,
YEL001C,7110
YEL002C,14900
YEL003W,1660
YEL004W,
YEL005C,
YEL006W,1630
YEL007W,1710
YEL008W,
YEL009C,
YEL010W,
YEL011W,1230
YEL012W,1590
YEL013W,5680
YEL014C,
YEL015W,2340
YEL016C,
YEL017C-A,74700
YEL017W,1300
YEL018W,937
YEL019C,2800
YEL020C,
YEL020W-A,
YEL021W,
YEL022W,7700
YEL023C,
YEL024W,
YEL025C,
YEL026W,
YEL027W,8450
YEL028W,
YEL029C,
YEL030W,
YEL031W,1870
YEL032W,35100
YEL033W,
YEL034W,
YEL035C,
YEL036C,
YEL037C,10900
YEL038W,2850
YEL039C,1310
YEL040W,
YEL041W,300
YEL042W,8680
YEL043W,149
YEL044W,1720
YEL045C,
YEL046C,106000
YEL047C,7620
YEL048C,8660
YEL049W,
YEL050C,1580
YEL051W,8500
YEL052W,3570
YEL053C,1970
YEL054C,68500
YEL055C,4490
YEL056W,
YEL057C,
YEL058W,14700
YEL059C-A,358
YEL059W,
YEL060C,1600
YEL061C,238
YEL062W,319
YEL063C,
YEL064C,
YEL065W,
YEL066W,1160
YEL067C,
YEL068C,952
YEL069C,
YEL070W,125
YEL071W,13000
YEL072W,
YEL073C,
YEL074W,
YEL075C,
YEL076C,
YEL076C-A,
YEL076W-C,
YEL077C,
YER001W,1780
YER002W,2860
YER003C,5220
YER004W,1340
YER005W,450
YER006W,7130
YER007C-A,4220
YER007W,2140
YER008C,377
YER009W,
YER010C,846
YER011W,623
YER012W,21800
YER013W,907
YER014C-A,
YER014W,5350
YER015W,358
YER016W,3630
YER017C,3870
YER018C,3280
YER019C-A,414
YER019W,2170
YER020W,4570
YER021W,16700
YER022W,3650
YER023W,43500
YER024W,319
YER025W,20800
YER026C,
YER027C,3590
YER028C,
YER029C,861
YER030W,623
YER031C,5960
YER032W,
YER033C,
YER034W,1100
YER035W,538
YER036C,17600
YER037W,195
YER038C,
YER039C,
YER039C-A,98.9
YER040W,589
YER041W,131
YER042W,3070
YER043C,
YER044C,377
YER044C-A,
YER045C,
YER046W,
YER047C,300
YER048C,
YER048W-A,2440
YER049W,8910
YER050C,1210
YER051W,784
YER052C,48100
YER053C,
YER053C-A,2360
YER054C,125
YER055C,
YER056C,
YER056C-A,23600
YER057C,672
YER058W,
YER059W,1240
YER060W,
YER060w-A,
YER061C,1660
YER062C,5000
YER063W,6580
YER064C,1730
YER065C,
YER066C-A,
YER066W,
YER067W,8450
YER068W,4280
YER069W,1180
YER070W,293000
YER071C,799
YER072W,12100
YER073W,23300
YER074W,
YER075C,768
YER076C,
YER077C,432
YER078C,5080
YER079W,1890
YER080W,8200
YER081W,7670
YER082C,5800
YER083C,
YER084W,300
YER085C,
YER086W,11900
YER087C-A,217
YER087W,477
YER088C,2120
YER089C,12600
YER090W,6510
YER091C,264000
YER091C-A,
YER092W,2280
YER093C,
YER093C-A,1840
YER094C,
YER095W,6960
YER096W,
YER097W,
YER098W,98.9
YER099C,8120
YER100W,1900
YER101C,937
YER102W,14400
YER103W,17900
YER104W,259
YER105C,4420
YER106W,
YER107C,1820
YER109C,
YER110C,38300
